Event,Date,Tour,Gender,Surfer 1,Surfer 2,Surfer 1 Odds,Surfer 2 Odds,Confidence
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Eli Hanneman,Kelly Slater,1.654,2.528,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Eli Hanneman,Kelly Slater,1.654,2.528,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Luke Thompson,Matthew McGillivray,1.946,2.057,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Luke Thompson,Matthew McGillivray,1.946,2.057,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Ramzi Boukhiam,Oscar Berry,1.876,2.141,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Ramzi Boukhiam,Oscar Berry,1.876,2.141,good
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Seth Moniz,Eimeo Czermak,1.977,2.023,poor
Outerknown Tahiti Pro Presented By I-SEA,"Aug 8 - 18, 2026",CT,men,Seth Moniz,Eimeo Czermak,1.977,2.023,poor
VIVO Rio Pro Presented By Corona Cero,"Jun 19 - 27, 2026",CT,men,Leonardo Fioravanti,Joao Chianca,1.638,2.567,good
VIVO Rio Pro Presented By Corona Cero,"Jun 19 - 27, 2026",CT,women,Sawyer Lindblad,Tya Zebrowski,1.832,2.202,good
VIVO Rio Pro Presented By Corona Cero,"Jun 19 - 27, 2026",CT,men,Yago Dora,Ethan Ewing,1.789,2.268,good
