mode,market,threshold,bets,wins,losses,pushes,win_pct_ex_push,units,roi_pct,avg_abs_edge,league
currentpar_plus_ssm_anchor_overlay,line_open,2,87,35,51,1,40.69767441860465,-19.470000000000002,-22.379310344827587,5.57408257884136,nrl
pure_currentpar_model,line_open,2,99,49,49,1,50,-4.860000000000002,-4.909090909090911,7.740765440828352,nrl
pure_team_model,line_open,2,100,43,56,1,43.43434343434343,-17.410000000000004,-17.410000000000004,7.48354089644176,nrl
team_plus_currentpar_delta_overlay,line_open,2,98,48,49,1,49.48453608247423,-5.7600000000000025,-5.877551020408165,7.790952734258712,nrl
currentpar_plus_ssm_anchor_overlay,line_open,4,56,25,31,0,44.642857142857146,-8.520000000000001,-15.214285714285717,6.974347955253685,nrl
pure_currentpar_model,line_open,4,77,36,40,1,47.36842105263158,-7.960000000000002,-10.33766233766234,9.073442945006658,nrl
pure_team_model,line_open,4,71,28,42,1,40,-16.94,-23.859154929577468,9.300826659132762,nrl
team_plus_currentpar_delta_overlay,line_open,4,77,36,40,1,47.36842105263158,-7.960000000000002,-10.33766233766234,9.064339490289086,nrl
currentpar_plus_ssm_anchor_overlay,line_close,2,98,46,52,0,46.93877551020408,-10.5,-10.714285714285714,5.705352484910167,nrl
pure_currentpar_model,line_close,2,106,52,54,0,49.056603773584904,-7.300000000000002,-6.88679245283019,7.888678835043538,nrl
pure_team_model,line_close,2,106,52,54,0,49.056603773584904,-7.150000000000001,-6.745283018867926,8.07026076478758,nrl
team_plus_currentpar_delta_overlay,line_close,2,106,52,54,0,49.056603773584904,-7.300000000000002,-6.88679245283019,7.883125223353424,nrl
currentpar_plus_ssm_anchor_overlay,line_close,4,67,33,34,0,49.25373134328358,-4.35,-6.492537313432835,6.972716542575426,nrl
pure_currentpar_model,line_close,4,84,42,42,0,50,-4.250000000000001,-5.059523809523811,9.203961691079687,nrl
pure_team_model,line_close,4,83,39,44,0,46.98795180722892,-8.700000000000001,-10.481927710843374,9.471837682765942,nrl
team_plus_currentpar_delta_overlay,line_close,4,84,42,42,0,50,-4.250000000000001,-5.059523809523811,9.201058823003853,nrl
currentpar_plus_ssm_anchor_overlay,total_open,2,68,39,29,0,57.35294117647059,7.170000000000002,10.544117647058826,4.127451015687568,nrl
pure_currentpar_model,total_open,2,62,34,28,0,54.83870967741935,2.7300000000000013,4.403225806451615,4.637976206012226,nrl
pure_team_model,total_open,2,61,36,25,0,59.01639344262295,7.910000000000002,12.967213114754102,4.622861576625579,nrl
team_plus_currentpar_delta_overlay,total_open,2,61,34,27,0,55.73770491803279,3.9200000000000013,6.426229508196723,4.653119967398307,nrl
currentpar_plus_ssm_anchor_overlay,total_open,4,25,17,8,0,68,6.960000000000001,27.840000000000003,6.493801254726062,nrl
pure_currentpar_model,total_open,4,27,16,11,0,59.25925925925926,3.1700000000000004,11.740740740740742,6.9241762749749505,nrl
pure_team_model,total_open,4,28,17,11,0,60.714285714285715,4.290000000000001,15.321428571428575,6.681049630940914,nrl
team_plus_currentpar_delta_overlay,total_open,4,28,18,10,0,64.28571428571429,6.140000000000001,21.928571428571427,6.7297158915882465,nrl
currentpar_plus_ssm_anchor_overlay,total_close,2,61,33,28,0,54.09836065573771,2.4200000000000004,3.9672131147540988,4.371262013659574,nrl
pure_currentpar_model,total_close,2,63,32,31,0,50.79365079365079,-2.17,-3.4444444444444446,4.526858098411013,nrl
pure_team_model,total_close,2,66,37,29,0,56.06060606060606,5.03,7.621212121212121,4.391678174084724,nrl
team_plus_currentpar_delta_overlay,total_close,2,62,33,29,0,53.225806451612904,0.8700000000000003,1.4032258064516134,4.535301422678418,nrl
currentpar_plus_ssm_anchor_overlay,total_close,4,28,14,14,0,50,-1.7899999999999996,-6.3928571428571415,6.246628219417552,nrl
